open_house_id,client_id,attended_flag,interest_level
1,946,True,low
1,358,True,low
1,269,True,medium
1,33,True,medium
1,856,True,medium
1,576,True,high
1,738,True,very high
1,745,True,high
2,432,True,medium
2,610,False,medium
2,523,True,high
2,365,True,low
3,706,True,low
3,698,True,high
3,749,True,medium
3,408,True,high
3,285,True,high
3,786,True,medium
3,676,True,low
3,700,True,low
3,89,True,high
4,70,True,medium
4,684,True,medium
4,35,False,medium
4,400,True,high
4,874,False,low
4,489,True,medium
4,687,True,medium
4,306,True,high
5,976,True,medium
5,317,True,high
5,293,True,low
5,550,True,high
5,380,True,high
5,637,True,medium
5,608,True,medium
5,21,True,medium
5,340,True,very high
6,920,True,medium
6,626,True,low
6,622,True,medium
6,96,True,low
6,829,True,high
6,146,True,medium
6,477,True,medium
6,264,True,medium
7,917,True,medium
7,35,True,medium
7,255,True,low
7,726,True,very high
7,174,True,medium
7,539,True,medium
7,183,True,medium
8,375,True,medium
8,114,True,medium
8,227,True,medium
8,56,True,high
8,354,True,medium
9,142,True,medium
9,836,False,medium
9,316,True,medium
9,111,True,medium
9,810,True,very high
9,50,False,medium
9,965,True,medium
9,874,True,low
9,484,True,medium
9,609,True,very high
9,622,True,very high
9,184,True,medium
10,714,True,low
10,981,True,medium
10,375,True,low
10,89,False,medium
10,32,True,medium
10,76,True,low
11,80,True,medium
11,581,True,high
11,133,True,low
11,751,True,medium
11,296,True,very high
11,220,False,medium
11,366,True,medium
11,506,True,very high
12,716,True,very high
12,734,True,high
12,856,True,medium
12,100,False,medium
12,79,True,medium
12,826,True,low
12,648,False,very high
12,952,True,high
12,817,True,high
13,528,True,medium
13,128,True,medium
13,843,True,medium
14,698,True,very high
14,198,True,high
14,372,False,low
15,346,True,medium
15,40,True,low
15,634,True,medium
15,780,True,very high
15,975,True,high
15,984,True,medium
15,742,True,very high
15,637,True,medium
15,206,True,low
15,998,True,high
16,16,True,very high
16,346,True,low
16,764,True,low
16,554,True,low
17,24,True,high
17,165,True,low
17,149,True,very high
17,509,True,medium
17,103,True,high
17,665,True,medium
17,398,False,medium
17,198,False,very high
17,254,True,high
18,596,True,medium
18,913,False,high
18,40,True,medium
18,498,True,low
18,235,True,medium
18,570,True,very high
18,129,True,medium
18,140,True,very high
19,989,True,high
19,309,True,high
19,694,True,medium
19,264,True,medium
19,407,True,high
19,520,True,low
19,705,True,low
19,583,True,high
19,128,True,high
20,181,True,very high
20,875,True,low
20,680,True,medium
20,69,True,high
20,637,True,medium
20,19,True,medium
20,204,True,very high
20,726,True,high
20,541,True,medium
20,606,True,low
21,379,True,high
21,591,True,medium
21,207,True,low
